window_start,window_time
400,2015-06-02 06:18:01
406,2015-06-02 07:18:01
412,2015-06-02 08:18:01
418,2015-06-02 09:18:01
424,2015-06-02 10:18:01
430,2015-06-02 11:18:01
436,2015-06-02 12:18:01
442,2015-06-02 13:18:01
448,2015-06-02 14:18:01
454,2015-06-02 15:18:01
460,2015-06-02 16:18:01
466,2015-06-02 17:18:01
472,2015-06-02 18:18:01
478,2015-06-02 19:18:01
484,2015-06-02 20:18:01
490,2015-06-02 21:18:01
496,2015-06-02 22:18:01
502,2015-06-02 23:18:01
508,2015-06-03 00:18:01
514,2015-06-03 01:18:01
520,2015-06-03 02:18:01
526,2015-06-03 03:18:01
532,2015-06-03 04:18:01
538,2015-06-03 05:18:01
544,2015-06-03 06:18:01
550,2015-06-03 07:18:01
556,2015-06-03 08:18:01
562,2015-06-03 09:18:01
568,2015-06-03 10:18:01
574,2015-06-03 11:18:01
580,2015-06-03 12:18:01
586,2015-06-03 13:18:01
592,2015-06-03 14:18:01
598,2015-06-03 15:18:01
604,2015-06-03 16:18:01
610,2015-06-03 17:18:01
616,2015-06-03 18:18:01
622,2015-06-03 19:18:01
628,2015-06-03 20:18:01
634,2015-06-03 21:18:01
640,2015-06-03 22:18:01
646,2015-06-03 23:18:01
652,2015-06-04 00:18:01
658,2015-06-04 01:18:01
664,2015-06-04 02:18:01
670,2015-06-04 03:18:01
676,2015-06-04 04:18:01
682,2015-06-04 05:18:01
688,2015-06-04 06:18:01
694,2015-06-04 07:18:01
700,2015-06-04 08:18:01
706,2015-06-04 09:18:01
712,2015-06-04 10:18:01
718,2015-06-04 11:18:01
724,2015-06-04 12:18:01
730,2015-06-04 13:18:01
736,2015-06-04 14:18:01
742,2015-06-04 15:18:01
748,2015-06-04 16:18:01
754,2015-06-04 17:18:01
760,2015-06-04 18:18:01
766,2015-06-04 19:18:01
772,2015-06-04 20:18:01
778,2015-06-04 21:18:01
784,2015-06-04 22:18:01
790,2015-06-04 23:18:01
796,2015-06-05 00:18:01
802,2015-06-05 01:18:01
808,2015-06-05 02:18:01
814,2015-06-05 03:18:01
820,2015-06-05 04:18:01
826,2015-06-05 05:18:01
832,2015-06-05 06:18:01
838,2015-06-05 07:18:01
844,2015-06-05 08:18:01
850,2015-06-05 09:18:01
856,2015-06-05 10:18:01
862,2015-06-05 11:18:01
868,2015-06-05 12:18:01
874,2015-06-05 13:18:01
880,2015-06-05 14:18:01
886,2015-06-05 15:18:01
892,2015-06-05 16:18:01
898,2015-06-05 17:18:01
904,2015-06-05 18:18:01
910,2015-06-05 19:18:01
916,2015-06-05 20:18:01
922,2015-06-05 21:18:01
928,2015-06-05 22:18:01
934,2015-06-05 23:18:01
940,2015-06-06 00:18:01
946,2015-06-06 01:18:01
952,2015-06-06 02:18:01
958,2015-06-06 03:18:01
964,2015-06-06 04:18:01
970,2015-06-06 05:18:01
976,2015-06-06 06:18:01
982,2015-06-06 07:18:01
988,2015-06-06 08:18:01
994,2015-06-06 09:18:01
1000,2015-06-06 10:18:01
1006,2015-06-06 11:18:01
1012,2015-06-06 12:18:01
1018,2015-06-06 13:18:01
1024,2015-06-06 14:18:01
1030,2015-06-06 15:18:01
1036,2015-06-06 16:18:01
1042,2015-06-06 17:18:01
1048,2015-06-06 18:18:01
1054,2015-06-06 19:18:01
1060,2015-06-06 20:18:01
1066,2015-06-06 21:18:01
1072,2015-06-06 22:18:01
1078,2015-06-06 23:18:01
1084,2015-06-07 00:18:01
1090,2015-06-07 01:18:01
1096,2015-06-07 02:18:01
1102,2015-06-07 03:18:01
1108,2015-06-07 04:18:01
1114,2015-06-07 05:18:01
1120,2015-06-07 06:18:01
1126,2015-06-07 07:18:01
1132,2015-06-07 08:18:01
1138,2015-06-07 09:18:01
1144,2015-06-07 10:18:01
1150,2015-06-07 11:18:01
1156,2015-06-07 12:18:01
1162,2015-06-07 13:18:01
1168,2015-06-07 14:18:01
1174,2015-06-07 15:18:01
1180,2015-06-07 16:18:01
1186,2015-06-07 17:18:01
1192,2015-06-07 18:18:01
1198,2015-06-07 19:18:01
1204,2015-06-07 20:18:01
1210,2015-06-07 21:18:01
1216,2015-06-07 22:18:01
1222,2015-06-07 23:18:01
1228,2015-06-08 00:18:01
1234,2015-06-08 01:18:01
1240,2015-06-08 02:18:01
