label,rule,tmax,window_days,alpha,shared_base_threshold,shared_slope,shared_high_success_pct,shared_low_all_success_pct,shared_combined_success_pct,shared_min_success_pct,shared_gap_pct,n_cells_total,n_cells_at_max_min,pct_cells_at_max_min,n_cells_at_max_sum,n_cells_sum_ge_130,pct_cells_sum_ge_130,n_cells_sum_ge_120,pct_cells_sum_ge_120,n_cells_both_ge_60,pct_cells_both_ge_60,n_cells_min_ge_50,pct_cells_min_ge_50,high_individual_best_pct,high_individual_best_base,high_individual_best_slope,low_all_individual_best_pct,low_all_individual_best_base,low_all_individual_best_slope,high_fallback_rate_pct,low_all_fallback_rate_pct,high_median_transient,low_all_median_transient,n_cells_sum_ge_100,pct_cells_sum_ge_100,n_cells_sum_ge_105,pct_cells_sum_ge_105,n_cells_sum_ge_110,pct_cells_sum_ge_110,n_cells_sum_ge_115,pct_cells_sum_ge_115,n_cells_within_5_of_max_sum,pct_cells_within_5_of_max_sum,n_cells_within_10_of_max_sum,pct_cells_within_10_of_max_sum,n_cells_both_ge_50,n_cells_both_ge_55,n_cells_sum_ge_110_gap_le_10,n_cells_sum_ge_110_min_ge_50
global_good_area,continuation_3,60,25,0.05,0.55,0.003,50.0,34.78260869565217,84.78260869565217,34.78260869565217,15.217391304347828,399,5,1.2531328320802004,1,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.55,0.00075,43.47826086956522,0.4,0.006,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,45,11.278195488721805,0,0,0,0
global_good_area,continuation_3,60,25,0.1,0.55,0.0015,70.0,30.434782608695652,100.43478260869566,30.434782608695652,39.565217391304344,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.55,0.0015,43.47826086956522,0.15,0.009,0.0,4.3478260869565215,20.0,23.0,1,0.2506265664160401,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,10,2.506265664160401,0,0,0,0
global_good_area,continuation_3,60,25,0.15,0.5,0.00075,70.0,26.08695652173913,96.08695652173913,26.08695652173913,43.913043478260875,399,2,0.5012531328320802,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.5,0.00075,39.130434782608695,0.1,0.00825,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,6,1.5037593984962405,0,0,0,0
global_good_area,continuation_3,60,25,0.2,0.1,0.00675,50.0,39.130434782608695,89.13043478260869,39.130434782608695,10.869565217391305,399,5,1.2531328320802004,3,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.4,0.0015,39.130434782608695,0.5,0.00225,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,16,4.010025062656641,0,0,0,0
global_good_area,continuation_3,75,10,0.01,0.45,0.006,70.0,39.130434782608695,109.13043478260869,39.130434782608695,30.869565217391305,399,1,0.2506265664160401,2,0,0.0,0,0.0,0,0.0,0,0.0,80.0,0.65,0.0015,56.52173913043478,0.7,0.003,0.0,4.3478260869565215,20.0,23.0,8,2.0050125313283207,2,0.5012531328320802,0,0.0,0,0.0,4,1.0025062656641603,12,3.007518796992481,0,0,0,0
global_good_area,continuation_3,75,10,0.02,0.15,0.009,70.0,43.47826086956522,113.47826086956522,43.47826086956522,26.52173913043478,399,2,0.5012531328320802,1,0,0.0,0,0.0,0,0.0,0,0.0,80.0,0.65,0.0015,52.17391304347826,0.45,0.0075,0.0,4.3478260869565215,20.0,23.0,24,6.015037593984962,7,1.7543859649122806,1,0.2506265664160401,0,0.0,5,1.2531328320802004,15,3.7593984962406015,0,0,0,0
global_good_area,continuation_3,75,10,0.05,0.1,0.00975,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.05,0.0075,52.17391304347826,0.55,0.00375,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.7543859649122806,17,4.260651629072681,0,0,0,0
global_good_area,continuation_3,75,10,0.1,0.1,0.00825,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.55,0.0,43.47826086956522,0.3,0.006,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,3,0.7518796992481203,0,0,0,0
global_good_area,continuation_3,75,10,0.15,0.3,0.00525,40.0,52.17391304347826,92.17391304347825,40.0,12.173913043478258,399,9,2.2556390977443606,2,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.55,0.0,52.17391304347826,0.3,0.00525,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7518796992481203,11,2.756892230576441,0,0,0,0
global_good_area,continuation_3,75,10,0.2,0.05,0.006,50.0,34.78260869565217,84.78260869565217,34.78260869565217,15.217391304347828,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.15,0.003,47.82608695652174,0.35,0.00225,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,10,2.506265664160401,0,0,0,0
global_good_area,continuation_3,75,15,0.01,0.75,0.003,50.0,60.869565217391305,110.86956521739131,50.0,10.869565217391305,399,4,1.0025062656641603,1,0,0.0,0,0.0,0,0.0,4,1.0025062656641603,60.0,0.6,0.00225,60.869565217391305,0.75,0.003,0.0,4.3478260869565215,20.0,23.0,4,1.0025062656641603,2,0.5012531328320802,1,0.2506265664160401,0,0.0,2,0.5012531328320802,4,1.0025062656641603,4,0,0,1
global_good_area,continuation_3,75,15,0.02,0.85,0.0,60.0,43.47826086956522,103.47826086956522,43.47826086956522,16.52173913043478,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,70.0,0.65,0.0015,56.52173913043478,0.75,0.003,0.0,4.3478260869565215,20.0,23.0,2,0.5012531328320802,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,9,2.2556390977443606,1,0,0,0
global_good_area,continuation_3,75,15,0.05,0.65,0.0015,60.0,34.78260869565217,94.78260869565217,34.78260869565217,25.217391304347828,399,2,0.5012531328320802,2,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.65,0.0015,43.47826086956522,0.7,0.003,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0025062656641603,32,8.020050125313283,0,0,0,0
global_good_area,continuation_3,75,15,0.1,0.45,0.003,60.0,34.78260869565217,94.78260869565217,34.78260869565217,25.217391304347828,399,4,1.0025062656641603,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.55,0.0,43.47826086956522,0.7,0.0015,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,18,4.511278195488721,27,6.7669172932330826,0,0,0,0
global_good_area,continuation_3,75,15,0.15,0.1,0.00675,50.0,47.82608695652174,97.82608695652175,47.82608695652174,2.173913043478258,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.2,0.00225,47.82608695652174,0.6,0.0015,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,9,2.2556390977443606,0,0,0,0
global_good_area,continuation_3,75,15,0.2,0.2,0.0045,70.0,34.78260869565217,104.78260869565217,34.78260869565217,35.21739130434783,399,1,0.2506265664160401,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.25,0.00375,43.47826086956522,0.05,0.00825,0.0,4.3478260869565215,20.0,23.0,7,1.7543859649122806,0,0.0,0,0.0,0,0.0,7,1.7543859649122806,11,2.756892230576441,0,0,0,0
global_good_area,continuation_3,75,20,0.01,0.7,0.003,50.0,47.82608695652174,97.82608695652175,47.82608695652174,2.173913043478258,399,2,0.5012531328320802,2,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.8,0.0,52.17391304347826,0.75,0.003,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.7543859649122806,14,3.508771929824561,0,0,0,0
global_good_area,continuation_3,75,20,0.02,0.85,0.0,60.0,39.130434782608695,99.13043478260869,39.130434782608695,20.869565217391305,399,3,0.7518796992481203,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.85,0.0,56.52173913043478,0.75,0.003,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,6,1.5037593984962405,0,0,0,0
global_good_area,continuation_3,75,20,0.05,0.65,0.0015,70.0,34.78260869565217,104.78260869565217,34.78260869565217,35.21739130434783,399,4,1.0025062656641603,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.65,0.0015,47.82608695652174,0.45,0.00525,0.0,4.3478260869565215,20.0,23.0,2,0.5012531328320802,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,7,1.7543859649122806,0,0,0,0
global_good_area,continuation_3,75,20,0.1,0.25,0.006,70.0,30.434782608695652,100.43478260869566,30.434782608695652,39.565217391304344,399,3,0.7518796992481203,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.55,0.0015,47.82608695652174,0.7,0.0015,0.0,4.3478260869565215,20.0,23.0,2,0.5012531328320802,0,0.0,0,0.0,0,0.0,7,1.7543859649122806,16,4.010025062656641,0,0,0,0
global_good_area,continuation_3,75,20,0.15,0.2,0.00675,60.0,39.130434782608695,99.13043478260869,39.130434782608695,20.869565217391305,399,2,0.5012531328320802,1,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.5,0.0,47.82608695652174,0.1,0.00825,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.2531328320802004,12,3.007518796992481,0,0,0,0
global_good_area,continuation_3,75,20,0.2,0.2,0.0045,70.0,30.434782608695652,100.43478260869566,30.434782608695652,39.565217391304344,399,2,0.5012531328320802,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.2,0.00225,43.47826086956522,0.5,0.00225,0.0,4.3478260869565215,20.0,23.0,2,0.5012531328320802,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,12,3.007518796992481,0,0,0,0
global_good_area,continuation_3,75,25,0.01,0.55,0.00525,60.0,34.78260869565217,94.78260869565217,34.78260869565217,25.217391304347828,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.7,0.00225,52.17391304347826,0.75,0.003,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.2531328320802004,25,6.265664160401002,0,0,0,0
global_good_area,continuation_3,75,25,0.02,0.2,0.0105,60.0,43.47826086956522,103.47826086956522,43.47826086956522,16.52173913043478,399,5,1.2531328320802004,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.2,0.0105,56.52173913043478,0.75,0.003,0.0,4.3478260869565215,20.0,23.0,1,0.2506265664160401,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,5,1.2531328320802004,0,0,0,0
global_good_area,continuation_3,75,25,0.05,0.55,0.003,50.0,34.78260869565217,84.78260869565217,34.78260869565217,15.217391304347828,399,5,1.2531328320802004,1,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.55,0.00075,43.47826086956522,0.75,0.003,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,12,3.007518796992481,58,14.536340852130325,0,0,0,0
global_good_area,continuation_3,75,25,0.1,0.55,0.0015,70.0,30.434782608695652,100.43478260869566,30.434782608695652,39.565217391304344,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.55,0.0015,43.47826086956522,0.7,0.0015,0.0,4.3478260869565215,20.0,23.0,1,0.2506265664160401,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,10,2.506265664160401,0,0,0,0
global_good_area,continuation_3,75,25,0.15,0.5,0.00075,70.0,26.08695652173913,96.08695652173913,26.08695652173913,43.913043478260875,399,40,10.025062656641603,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.5,0.00075,39.130434782608695,0.65,0.0015,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,7,1.7543859649122806,0,0,0,0
global_good_area,continuation_3,75,25,0.2,0.1,0.00675,50.0,39.130434782608695,89.13043478260869,39.130434782608695,10.869565217391305,399,29,7.268170426065162,3,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.4,0.0015,39.130434782608695,0.5,0.00225,0.0,4.3478260869565215,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,40,10.025062656641603,0,0,0,0
global_good_area,continuation_3,90,10,0.01,0.45,0.006,70.0,39.130434782608695,109.13043478260869,39.130434782608695,30.869565217391305,399,1,0.2506265664160401,2,0,0.0,0,0.0,0,0.0,0,0.0,80.0,0.65,0.0015,56.52173913043478,0.7,0.003,0.0,0.0,20.0,23.0,8,2.0050125313283207,2,0.5012531328320802,0,0.0,0,0.0,4,1.0025062656641603,12,3.007518796992481,0,0,0,0
global_good_area,continuation_3,90,10,0.02,0.45,0.006,70.0,39.130434782608695,109.13043478260869,39.130434782608695,30.869565217391305,399,1,0.2506265664160401,5,0,0.0,0,0.0,0,0.0,0,0.0,80.0,0.65,0.0015,52.17391304347826,0.45,0.0075,0.0,0.0,20.0,23.0,24,6.015037593984962,6,1.5037593984962405,0,0.0,0,0.0,12,3.007518796992481,25,6.265664160401002,0,0,0,0
global_good_area,continuation_3,90,10,0.05,0.1,0.00975,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.05,0.0075,52.17391304347826,0.45,0.00525,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.2531328320802004,16,4.010025062656641,0,0,0,0
global_good_area,continuation_3,90,10,0.1,0.1,0.00825,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.55,0.0,43.47826086956522,0.3,0.006,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,3,0.7518796992481203,0,0,0,0
global_good_area,continuation_3,90,10,0.15,0.3,0.00525,40.0,52.17391304347826,92.17391304347825,40.0,12.173913043478258,399,9,2.2556390977443606,2,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.55,0.0,52.17391304347826,0.3,0.00525,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7518796992481203,11,2.756892230576441,0,0,0,0
global_good_area,continuation_3,90,10,0.2,0.05,0.006,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.15,0.003,47.82608695652174,0.1,0.00675,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.2531328320802004,10,2.506265664160401,0,0,0,0
global_good_area,continuation_3,90,15,0.01,0.75,0.003,50.0,60.869565217391305,110.86956521739131,50.0,10.869565217391305,399,4,1.0025062656641603,1,0,0.0,0,0.0,0,0.0,4,1.0025062656641603,60.0,0.6,0.00225,60.869565217391305,0.75,0.003,0.0,0.0,20.0,23.0,4,1.0025062656641603,2,0.5012531328320802,1,0.2506265664160401,0,0.0,2,0.5012531328320802,4,1.0025062656641603,4,0,0,1
global_good_area,continuation_3,90,15,0.02,0.85,0.0,60.0,43.47826086956522,103.47826086956522,43.47826086956522,16.52173913043478,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,70.0,0.65,0.0015,56.52173913043478,0.75,0.003,0.0,0.0,20.0,23.0,2,0.5012531328320802,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,9,2.2556390977443606,1,0,0,0
global_good_area,continuation_3,90,15,0.05,0.65,0.0015,60.0,34.78260869565217,94.78260869565217,34.78260869565217,25.217391304347828,399,2,0.5012531328320802,2,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.65,0.0015,43.47826086956522,0.7,0.003,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0025062656641603,32,8.020050125313283,0,0,0,0
global_good_area,continuation_3,90,15,0.1,0.45,0.003,60.0,34.78260869565217,94.78260869565217,34.78260869565217,25.217391304347828,399,4,1.0025062656641603,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.55,0.0,43.47826086956522,0.7,0.0015,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,18,4.511278195488721,27,6.7669172932330826,0,0,0,0
global_good_area,continuation_3,90,15,0.15,0.1,0.00675,50.0,47.82608695652174,97.82608695652175,47.82608695652174,2.173913043478258,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.2,0.00225,47.82608695652174,0.6,0.0015,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,9,2.2556390977443606,0,0,0,0
global_good_area,continuation_3,90,15,0.2,0.2,0.0045,70.0,34.78260869565217,104.78260869565217,34.78260869565217,35.21739130434783,399,1,0.2506265664160401,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.25,0.00375,43.47826086956522,0.05,0.00825,0.0,0.0,20.0,23.0,7,1.7543859649122806,0,0.0,0,0.0,0,0.0,7,1.7543859649122806,11,2.756892230576441,0,0,0,0
global_good_area,continuation_3,90,20,0.01,0.7,0.003,50.0,47.82608695652174,97.82608695652175,47.82608695652174,2.173913043478258,399,2,0.5012531328320802,2,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.8,0.0,52.17391304347826,0.75,0.003,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.7543859649122806,14,3.508771929824561,0,0,0,0
global_good_area,continuation_3,90,20,0.02,0.85,0.0,60.0,39.130434782608695,99.13043478260869,39.130434782608695,20.869565217391305,399,3,0.7518796992481203,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.85,0.0,56.52173913043478,0.75,0.003,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,6,1.5037593984962405,0,0,0,0
global_good_area,continuation_3,90,20,0.05,0.65,0.0015,70.0,34.78260869565217,104.78260869565217,34.78260869565217,35.21739130434783,399,4,1.0025062656641603,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.65,0.0015,47.82608695652174,0.45,0.00525,0.0,0.0,20.0,23.0,2,0.5012531328320802,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,7,1.7543859649122806,0,0,0,0
global_good_area,continuation_3,90,20,0.1,0.25,0.006,70.0,30.434782608695652,100.43478260869566,30.434782608695652,39.565217391304344,399,3,0.7518796992481203,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.55,0.0015,47.82608695652174,0.7,0.0015,0.0,0.0,20.0,23.0,2,0.5012531328320802,0,0.0,0,0.0,0,0.0,7,1.7543859649122806,16,4.010025062656641,0,0,0,0
global_good_area,continuation_3,90,20,0.15,0.2,0.00675,60.0,39.130434782608695,99.13043478260869,39.130434782608695,20.869565217391305,399,2,0.5012531328320802,1,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.5,0.0,47.82608695652174,0.1,0.00825,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.2531328320802004,12,3.007518796992481,0,0,0,0
global_good_area,continuation_3,90,20,0.2,0.2,0.0045,70.0,30.434782608695652,100.43478260869566,30.434782608695652,39.565217391304344,399,2,0.5012531328320802,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.2,0.00225,43.47826086956522,0.5,0.00225,0.0,0.0,20.0,23.0,2,0.5012531328320802,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,12,3.007518796992481,0,0,0,0
global_good_area,continuation_3,90,25,0.01,0.55,0.00525,60.0,34.78260869565217,94.78260869565217,34.78260869565217,25.217391304347828,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.7,0.00225,52.17391304347826,0.75,0.003,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.2531328320802004,25,6.265664160401002,0,0,0,0
global_good_area,continuation_3,90,25,0.02,0.2,0.0105,60.0,43.47826086956522,103.47826086956522,43.47826086956522,16.52173913043478,399,5,1.2531328320802004,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.2,0.0105,56.52173913043478,0.75,0.003,0.0,0.0,20.0,23.0,1,0.2506265664160401,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,5,1.2531328320802004,0,0,0,0
global_good_area,continuation_3,90,25,0.05,0.55,0.003,50.0,34.78260869565217,84.78260869565217,34.78260869565217,15.217391304347828,399,5,1.2531328320802004,1,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.55,0.00075,43.47826086956522,0.75,0.003,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,12,3.007518796992481,58,14.536340852130325,0,0,0,0
global_good_area,continuation_3,90,25,0.1,0.55,0.0015,70.0,30.434782608695652,100.43478260869566,30.434782608695652,39.565217391304344,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.55,0.0015,43.47826086956522,0.7,0.0015,0.0,0.0,20.0,23.0,1,0.2506265664160401,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,10,2.506265664160401,0,0,0,0
global_good_area,continuation_3,90,25,0.15,0.5,0.00075,70.0,26.08695652173913,96.08695652173913,26.08695652173913,43.913043478260875,399,40,10.025062656641603,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.5,0.00075,39.130434782608695,0.65,0.0015,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,7,1.7543859649122806,0,0,0,0
global_good_area,continuation_3,90,25,0.2,0.1,0.00675,50.0,39.130434782608695,89.13043478260869,39.130434782608695,10.869565217391305,399,29,7.268170426065162,3,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.4,0.0015,39.130434782608695,0.5,0.00225,0.0,0.0,20.0,23.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,40,10.025062656641603,0,0,0,0
global_good_area,continuation_4,30,10,0.01,0.45,0.006,60.0,43.47826086956522,103.47826086956522,43.47826086956522,16.52173913043478,399,5,1.2531328320802004,2,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.65,0.0015,56.52173913043478,0.85,0.0015,40.0,60.869565217391305,20.5,30.0,2,0.5012531328320802,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,8,2.0050125313283207,0,0,0,0
global_good_area,continuation_4,30,10,0.02,0.4,0.00675,60.0,52.17391304347826,112.17391304347825,52.17391304347826,7.826086956521742,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,70.0,0.65,0.0015,65.21739130434783,0.7,0.003,40.0,60.869565217391305,20.5,30.0,11,2.756892230576441,4,1.0025062656641603,1,0.2506265664160401,0,0.0,3,0.7518796992481203,11,2.756892230576441,1,0,1,1
global_good_area,continuation_4,30,10,0.05,0.55,0.003,50.0,47.82608695652174,97.82608695652175,47.82608695652174,2.173913043478258,399,4,1.0025062656641603,4,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.6,0.00075,56.52173913043478,0.55,0.00375,40.0,60.869565217391305,20.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,9,2.2556390977443606,11,2.756892230576441,0,0,0,0
global_good_area,continuation_4,30,10,0.1,0.3,0.00525,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781,399,3,0.7518796992481203,3,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.4,0.003,52.17391304347826,0.3,0.006,40.0,60.869565217391305,20.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,12,3.007518796992481,0,0,0,0
global_good_area,continuation_4,30,10,0.15,0.35,0.00375,40.0,56.52173913043478,96.52173913043478,40.0,16.52173913043478,399,13,3.258145363408521,1,0,0.0,0,0.0,0,0.0,0,0.0,50.0,0.1,0.00825,56.52173913043478,0.35,0.00375,40.0,60.869565217391305,20.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7518796992481203,8,2.0050125313283207,0,0,0,0
global_good_area,continuation_4,30,10,0.2,0.05,0.00675,60.0,43.47826086956522,103.47826086956522,43.47826086956522,16.52173913043478,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.05,0.006,47.82608695652174,0.35,0.00225,40.0,60.869565217391305,20.5,30.0,1,0.2506265664160401,0,0.0,0,0.0,0,0.0,2,0.5012531328320802,3,0.7518796992481203,0,0,0,0
global_good_area,continuation_4,30,15,0.01,0.75,0.003,60.0,60.869565217391305,120.86956521739131,60.0,0.8695652173913047,399,1,0.2506265664160401,1,0,0.0,1,0.2506265664160401,1,0.2506265664160401,7,1.7543859649122806,60.0,0.85,0.00225,60.869565217391305,0.85,0.0015,40.0,60.869565217391305,20.5,30.0,8,2.0050125313283207,6,1.5037593984962405,4,1.0025062656641603,2,0.5012531328320802,2,0.5012531328320802,4,1.0025062656641603,7,2,3,4
global_good_area,continuation_4,30,15,0.02,0.65,0.0045,60.0,43.47826086956522,103.47826086956522,43.47826086956522,16.52173913043478,399,1,0.2506265664160401,1,0,0.0,0,0.0,0,0.0,1,0.2506265664160401,70.0,0.65,0.0015,52.17391304347826,0.75,0.003,40.0,60.869565217391305,20.5,30.0,2,0.5012531328320802,0,0.0,0,0.0,0,0.0,4,1.0025062656641603,21,5.263157894736842,1,0,0,0
global_good_area,continuation_4,30,15,0.05,0.6,0.00225,60.0,39.130434782608695,99.13043478260869,39.130434782608695,20.869565217391305,399,1,0.2506265664160401,5,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.75,0.0,47.82608695652174,0.75,0.0015,40.0,60.869565217391305,20.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,10,2.506265664160401,47,11.779448621553884,0,0,0,0
global_good_area,continuation_4,30,15,0.1,0.35,0.0045,70.0,34.78260869565217,104.78260869565217,34.78260869565217,35.21739130434783,399,3,0.7518796992481203,3,0,0.0,0,0.0,0,0.0,0,0.0,70.0,0.55,0.0015,43.47826086956522,0.15,0.00825,40.0,60.869565217391305,20.5,30.0,9,2.2556390977443606,0,0.0,0,0.0,0,0.0,9,2.2556390977443606,24,6.015037593984962,0,0,0,0
global_good_area,continuation_4,30,15,0.15,0.15,0.00675,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781,399,3,0.7518796992481203,3,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.2,0.00225,43.47826086956522,0.2,0.006,40.0,60.869565217391305,20.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.5037593984962405,9,2.2556390977443606,0,0,0,0
global_good_area,continuation_4,30,15,0.2,0.1,0.00525,60.0,30.434782608695652,90.43478260869566,30.434782608695652,29.565217391304348,399,2,0.5012531328320802,2,0,0.0,0,0.0,0,0.0,0,0.0,60.0,0.35,0.0,39.130434782608695,0.05,0.00675,40.0,60.869565217391305,20.5,30.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.2531328320802004,17,4.260651629072681,0,0,0,0
